country,latitude,longitude
Argentina,-34.6037,-58.3816
Australia,-25.2744,133.7751
Belgium,50.5039,4.4699
Brazil,-15.7939,-47.8828
Canada,56.1304,-106.3468
China,35.8617,104.1954
Ethiopia,9.1450,40.4897
France,46.2276,2.2137
Germany,51.1657,10.4515
India,20.5937,78.9629
Indonesia,-0.7893,113.9213
Japan,36.2048,138.2529
Luxembourg,49.8153,6.1296
Mexico,23.6345,-102.5528
Netherlands,52.1326,5.2913
Nigeria,9.0820,8.6753
Poland,51.9194,19.1451
South Africa,-30.5595,22.9375
Sweden,60.1282,18.6435
Switzerland,46.8182,8.2275
United Kingdom,55.3781,-3.4360
USA,37.0902,-95.7129
Vietnam,14.0583,108.2772
